City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,luderitz,-26.6481,15.1594,16.62,97,40,0.68,NA,1701399352
311,port moresby,-9.4431,147.1797,32.68,58,40,5.14,PG,1701399353
312,hamilton,39.1834,-84.5333,12.97,51,100,3.6,US,1701398940
313,iranshahr,27.2025,60.6848,16.19,48,0,3.09,IR,1701399354
314,dapa,9.7594,126.0531,27.47,81,100,3.06,PH,1701399354
315,tabuk,17.4189,121.4443,27.73,74,62,2.07,PH,1701399354
316,wainwright,52.839,-110.8572,-7.38,83,4,2.21,CA,1701399355
317,fedorovskiy,45.0972,40.9517,6.78,88,100,2.4,RU,1701399356
318,georgetown,5.4112,100.3354,30.53,70,20,2.57,MY,1701399194
319,ixtapa,20.7,-105.2,20.97,89,20,1.07,MX,1701399357
320,siwa oasis,29.2041,25.5195,14.05,48,2,1.33,EG,1701399358
321,shimoda,34.6667,138.95,12.2,54,27,7.26,JP,1701399358
322,dunedin,-45.8742,170.5036,12.87,63,10,4.17,NZ,1701399357
323,dazhong,33.1997,120.4578,5.93,19,0,4.4,CN,1701399359
324,kapuskasing,49.4169,-82.4331,-13.95,85,0,2.57,CA,1701399182
325,iskateley,67.6803,53.1512,-9.43,98,100,1.79,RU,1701399360
326,waddan,29.1614,16.139,15.19,32,0,3.18,LY,1701399360
327,neiafu,-18.65,-173.9833,30.38,79,20,5.14,TO,1701399361
328,puerto armuelles,8.2833,-82.8667,27.27,76,42,1.79,PA,1701399362
329,tura,25.5198,90.2201,22.82,58,3,0.78,IN,1701399362
330,hadibu,12.65,54.0333,25.7,71,100,7.23,YE,1701399363
331,burang,30.25,81.1667,-6.5,79,100,1.89,CN,1701399363
332,pakokku,21.3333,95.1,24.26,63,65,3.95,MM,1701399350
333,tsiombe,-25.3,45.4833,21.18,77,100,4.99,MG,1701399364
334,la mitra,8.8422,-79.7867,26.82,92,84,2.24,PA,1701399365
335,mokhotlong,-29.2894,29.0675,9.32,51,2,0.29,LS,1701399365
336,moengo,5.6167,-54.4,23.42,94,100,1.11,SR,1701399366
